orderNumber,orderDate,customerNumber,revenue
10100,2003-01-06,363,10223.83
10101,2003-01-09,128,10549.01
10102,2003-01-10,181,5494.78
10103,2003-01-29,121,50218.95
10104,2003-01-31,141,40206.20
10105,2003-02-11,145,53959.21
10106,2003-02-17,278,52151.81
10107,2003-02-24,131,22292.62
10108,2003-03-03,385,51001.22
10109,2003-03-10,486,25833.14
10110,2003-03-18,187,48425.69
10111,2003-03-25,129,16537.85
10112,2003-03-24,144,7674.94
10113,2003-03-26,124,11044.30
10114,2003-04-01,172,33383.14
10115,2003-04-04,424,21665.98
10116,2003-04-11,381,1627.56
10117,2003-04-16,148,44380.15
10118,2003-04-21,216,3101.40
10119,2003-04-28,382,35826.33
10120,2003-04-29,114,45864.03
10121,2003-05-07,353,16700.47
10122,2003-05-08,350,50824.66
10123,2003-05-20,103,14571.44
10124,2003-05-21,112,32641.98
10125,2003-05-21,114,7565.08
10126,2003-05-28,458,57131.92
10127,2003-06-03,151,58841.35
10128,2003-06-06,141,13884.99
10129,2003-06-12,324,29429.14
10130,2003-06-16,198,6036.96
10131,2003-06-16,447,17032.29
10132,2003-06-25,323,2880.00
10133,2003-06-27,141,22366.04
10134,2003-07-01,250,23419.47
10135,2003-07-02,124,55601.84
10136,2003-07-04,242,14232.70
10137,2003-07-10,353,13920.26
10138,2003-07-07,496,32077.44
10139,2003-07-16,282,24013.52
10140,2003-07-24,161,38675.13
10141,2003-08-01,334,29716.86
10142,2003-08-08,124,56052.56
10143,2003-08-10,320,41016.75
10144,2003-08-13,381,1128.20
10145,2003-08-25,205,50342.74
10146,2003-09-03,447,6631.36
10147,2003-09-05,379,32680.31
10148,2003-09-11,276,41554.73
10149,2003-09-12,487,29997.09
10150,2003-09-19,148,38350.15
10151,2003-09-21,311,32723.04
10152,2003-09-25,333,9821.32
10153,2003-09-28,141,44939.85
10154,2003-10-02,219,4465.85
10155,2003-10-06,186,37602.48
10156,2003-10-08,141,4599.52
10157,2003-10-09,473,17746.26
10158,2003-10-10,121,1491.38
10159,2003-10-10,321,54682.68
10160,2003-10-11,347,20452.50
10161,2003-10-17,227,36164.46
10162,2003-10-18,321,30876.44
10163,2003-10-20,424,22042.37
10164,2003-10-21,452,27121.90
10165,2003-10-22,148,67392.85
10166,2003-10-21,462,9977.85
10167,2003-10-23,448,44167.09
10168,2003-10-28,161,50743.65
10169,2003-11-04,276,38547.19
10170,2003-11-04,452,15130.97
10171,2003-11-05,233,16909.84
10172,2003-11-05,175,24879.08
10173,2003-11-05,278,37723.79
10174,2003-11-06,333,23936.53
10175,2003-11-06,324,37455.77
10176,2003-11-06,386,38524.29
10177,2003-11-07,344,31428.21
10178,2003-11-08,242,33818.34
10179,2003-11-11,496,22963.60
10180,2003-11-11,171,42783.81
10181,2003-11-12,167,55069.55
10182,2003-11-12,124,45084.38
10183,2003-11-13,339,34606.28
10184,2003-11-14,484,47513.19
10185,2003-11-14,320,52548.49
10186,2003-11-14,489,22275.73
10187,2003-11-15,211,28287.73
10188,2003-11-18,167,29954.91
10189,2003-11-18,205,3879.96
10190,2003-11-19,141,10721.86
10191,2003-11-20,259,27988.47
10192,2003-11-20,363,55425.77
10193,2003-11-21,471,35505.63
10194,2003-11-25,146,39712.10
10195,2003-11-25,319,36092.40
10196,2003-11-26,455,38139.18
10197,2003-11-26,216,40473.86
10198,2003-11-27,385,20644.24
10199,2003-12-01,475,7678.25
10200,2003-12-01,211,17193.06
10201,2003-12-01,129,23923.93
10202,2003-12-02,357,20220.04
10203,2003-12-02,141,40062.53
10204,2003-12-02,151,58793.53
10205,2003-12-03,141,13059.16
10206,2003-12-05,202,36527.61
10207,2003-12-09,495,59265.14
10208,2004-01-02,146,49614.72
10209,2004-01-09,347,21053.69
10210,2004-01-12,177,47177.59
10211,2004-01-15,406,49165.16
10212,2004-01-16,141,59830.55
10213,2004-01-22,489,7310.42
10214,2004-01-26,458,22162.61
10215,2004-01-29,475,36070.47
10216,2004-02-02,256,5759.42
10217,2004-02-04,166,22474.17
10218,2004-02-09,473,7612.06
10219,2004-02-10,487,12573.28
10220,2004-02-12,189,32538.74
10221,2004-02-18,314,16901.38
10222,2004-02-19,239,56822.65
10223,2004-02-20,114,44894.74
10224,2004-02-21,171,18997.89
10225,2004-02-22,298,47375.92
10226,2004-02-26,239,23552.59
10227,2004-03-02,146,40978.53
10228,2004-03-10,173,20355.24
10229,2004-03-11,124,43369.30
10230,2004-03-15,128,33820.62
10231,2004-03-19,344,15322.93
10232,2004-03-20,240,24995.61
10233,2004-03-29,328,7178.66
10234,2004-03-30,412,31670.37
10235,2004-04-02,260,29284.42
10236,2004-04-03,486,5899.38
10237,2004-04-05,181,22602.36
10238,2004-04-09,145,28211.70
10239,2004-04-12,311,16212.59
10240,2004-04-13,177,15183.63
10241,2004-04-13,209,36069.26
10242,2004-04-20,456,1679.92
10243,2004-04-26,495,6276.60
10244,2004-04-29,141,26155.91
10245,2004-05-04,455,32239.47
10246,2004-05-05,141,35420.74
10247,2004-05-05,334,28394.54
10248,2004-05-07,131,41445.21
10249,2004-05-08,173,11843.45
10250,2004-05-11,450,42798.08
10251,2004-05-18,328,31102.85
10252,2004-05-26,406,25080.96
10253,2004-06-01,201,45443.54
10254,2004-06-03,323,37281.36
10255,2004-06-04,209,4632.31
10256,2004-06-08,145,4710.73
10257,2004-06-14,450,16753.30
10258,2004-06-15,398,22037.91
10259,2004-06-15,166,44160.92
10260,2004-06-16,357,37769.38
10261,2004-06-17,233,22997.45
10262,2004-06-24,141,47065.36
10263,2004-06-28,175,42044.77
10264,2004-06-30,362,18473.71
10265,2004-07-02,471,9415.13
10266,2004-07-06,386,51619.02
10267,2004-07-07,151,20314.44
10268,2004-07-12,412,35034.57
10269,2004-07-16,382,6419.84
10270,2004-07-19,282,35806.73
10271,2004-07-20,124,37430.89
10272,2004-07-20,157,23715.70
10273,2004-07-21,314,45352.47
10274,2004-07-21,379,12530.51
10275,2004-07-23,119,47924.19
10276,2004-08-02,204,51152.86
10277,2004-08-04,148,2611.84
10278,2004-08-06,112,33347.88
10279,2004-08-09,141,20009.53
10280,2004-08-17,249,48298.99
10281,2004-08-19,157,39641.43
10282,2004-08-20,124,47979.98
10283,2004-08-20,260,37527.58
10284,2004-08-21,299,32260.16
10285,2004-08-27,286,43134.04
10286,2004-08-28,172,1960.80
10287,2004-08-30,298,61402.00
10288,2004-09-01,166,38785.48
10289,2004-09-03,167,12538.01
10290,2004-09-07,198,5858.56
10291,2004-09-08,448,48809.90
10292,2004-09-08,131,35321.97
10293,2004-09-09,249,33924.24
10294,2004-09-10,204,4424.40
10295,2004-09-10,362,15059.76
10296,2004-09-15,415,31310.09
10297,2004-09-16,189,17359.53
10298,2004-09-27,103,6066.78
10299,2004-09-30,186,34341.08
10300,2003-10-04,128,24101.81
10301,2003-10-05,299,36798.88
10302,2003-10-06,201,23908.24
10303,2004-10-06,484,3474.66
10304,2004-10-11,256,53116.99
10305,2004-10-13,286,47411.33
10306,2004-10-14,187,52825.29
10307,2004-10-14,339,23333.06
10308,2004-10-15,319,42339.76
10309,2004-10-15,121,17876.32
10310,2004-10-16,259,61234.67
10311,2004-10-16,141,36140.38
10312,2004-10-21,124,55639.66
10313,2004-10-22,202,33594.58
10314,2004-10-22,227,53745.34
10315,2004-10-29,119,19501.82
10316,2004-11-01,240,46788.14
10317,2004-11-02,161,2434.25
10318,2004-11-02,157,35152.12
10319,2004-11-03,456,27550.51
10320,2004-11-03,144,16799.03
10321,2004-11-04,462,48355.87
10322,2004-11-04,363,50799.69
10323,2004-11-05,128,7466.32
10324,2004-11-05,181,44400.50
10325,2004-11-05,121,34638.14
10326,2004-11-09,144,19206.68
10327,2004-11-10,145,20564.86
10328,2004-11-12,278,37654.09
10329,2004-11-15,131,50025.35
10330,2004-11-16,385,15822.84
10331,2004-11-17,486,45994.07
10332,2004-11-17,187,47159.11
10333,2004-11-18,129,26248.78
10334,2004-11-19,144,23014.17
10335,2004-11-19,124,6466.44
10336,2004-11-20,172,51209.58
10337,2004-11-21,424,25505.98
10338,2004-11-22,381,12081.52
10339,2004-11-23,398,48927.64
10340,2004-11-24,216,24945.21
10341,2004-11-24,382,42813.83
10342,2004-11-24,114,40265.60
10343,2004-11-24,353,17104.91
10344,2004-11-25,350,18888.31
10345,2004-11-25,103,1676.14
10346,2004-11-29,112,14191.12
10347,2004-11-29,114,41995.62
10348,2004-11-01,458,33145.56
10349,2004-12-01,151,39964.63
10350,2004-12-02,141,46493.16
10351,2004-12-03,324,13671.82
10352,2004-12-03,198,9658.74
10353,2004-12-04,447,26304.13
10354,2004-12-04,323,39440.59
10355,2004-12-07,141,25529.78
10356,2004-12-09,250,26311.63
10357,2004-12-10,124,40676.26
10358,2004-12-10,141,44185.46
10359,2004-12-15,353,32600.61
10360,2004-12-16,496,52166.00
10361,2004-12-17,282,31835.36
10362,2005-01-05,161,12692.19
10363,2005-01-06,334,45785.34
10364,2005-01-06,350,1834.56
10365,2005-01-07,320,8307.28
10366,2005-01-10,381,14379.90
10367,2005-01-12,205,39580.60
10368,2005-01-19,124,13874.75
10369,2005-01-20,379,28322.83
10370,2005-01-20,276,27083.78
10371,2005-01-23,124,35137.54
10372,2005-01-26,398,33967.73
10373,2005-01-31,311,46770.52
10374,2005-02-02,333,21432.31
10375,2005-02-03,119,49523.67
10376,2005-02-08,219,3452.75
10377,2005-02-09,186,23602.90
10378,2005-02-10,141,32289.12
10379,2005-02-10,141,16621.27
10380,2005-02-16,141,34404.21
10381,2005-02-17,321,32626.09
10382,2005-02-17,124,47765.59
10383,2005-02-22,141,36851.98
10384,2005-02-23,321,14155.57
10385,2005-02-28,124,4466.71
10386,2005-03-01,141,46968.52
10387,2005-03-02,148,3516.04
10388,2005-03-03,462,30293.77
10389,2005-03-03,448,27966.54
10390,2005-03-04,124,55902.50
10391,2005-03-09,276,29848.52
10392,2005-03-10,452,8807.12
10393,2005-03-11,323,33593.32
10394,2005-03-15,141,18102.74
10395,2005-03-17,250,17928.09
10396,2005-03-23,124,27695.54
10397,2005-03-28,242,12432.32
10398,2005-03-30,353,46656.94
10399,2005-04-01,496,30253.75
10400,2005-04-01,450,31755.34
10401,2005-04-03,328,43525.04
10402,2005-04-07,406,12190.85
10403,2005-04-08,201,37258.94
10404,2005-04-08,323,41426.81
10405,2005-04-14,209,35157.75
10406,2005-04-15,145,21638.62
10407,2005-04-22,450,52229.55
10408,2005-04-22,398,615.45
10409,2005-04-23,166,2326.18
10410,2005-04-29,357,36442.34
10411,2005-05-01,233,29070.38
10412,2005-05-03,141,46895.48
10413,2005-05-05,175,28500.78
10414,2005-05-06,362,50806.85
10415,2005-05-09,471,10945.26
10416,2005-05-10,386,35362.26
10417,2005-05-13,141,28574.90
10418,2005-05-16,412,23627.44
10419,2005-05-17,382,52420.07
10420,2005-05-29,282,42251.51
10421,2005-05-29,124,7639.10
10422,2005-05-30,157,5849.44
10423,2005-05-30,314,8597.73
10424,2005-05-31,141,29310.30
10425,2005-05-31,119,41623.44
